codigo_dane,numero_hogares,hacinamiento_promedio,densidad_habitacional,tasa_acceso_a_cocina,tasa_acceso_a_agua_para_cocinar,year
19001,97164,1.4567159129956333,1.017472343387405,0.9981371701453213,0.9602218928821374,2019
19001,97164,1.4567159129956333,1.017472343387405,0.9981371701453213,0.9602218928821374,2020
19001,97164,1.4567159129956333,1.017472343387405,0.9981371701453213,0.9602218928821374,2021
19001,97164,1.4567159129956333,1.017472343387405,0.9981371701453213,0.9602218928821374,2022
19001,97164,1.4567159129956333,1.017472343387405,0.9981371701453213,0.9602218928821374,2023
19022,6632,0.8670686977042438,1.3301544383608617,1.0,0.9695416164053076,2019
19022,6632,0.8670686977042438,1.3301544383608617,1.0,0.9695416164053076,2020
19022,6632,0.8670686977042438,1.3301544383608617,1.0,0.9695416164053076,2021
19022,6632,0.8670686977042438,1.3301544383608617,1.0,0.9695416164053076,2022
19022,6632,0.8670686977042438,1.3301544383608617,1.0,0.9695416164053076,2023
19050,7691,0.7809355068425314,1.2904595743802494,0.9998699778962423,0.9724353140033806,2019
19050,7691,0.7809355068425314,1.2904595743802494,0.9998699778962423,0.9724353140033806,2020
19050,7691,0.7809355068425314,1.2904595743802494,0.9998699778962423,0.9724353140033806,2021
19050,7691,0.7809355068425314,1.2904595743802494,0.9998699778962423,0.9724353140033806,2022
19050,7691,0.7809355068425314,1.2904595743802494,0.9998699778962423,0.9724353140033806,2023
19075,7324,0.889539155823466,1.2975285767686404,0.9998634625887494,0.9781540141998908,2019
19075,7324,0.889539155823466,1.2975285767686404,0.9998634625887494,0.9781540141998908,2020
19075,7324,0.889539155823466,1.2975285767686404,0.9998634625887494,0.9781540141998908,2021
19075,7324,0.889539155823466,1.2975285767686404,0.9998634625887494,0.9781540141998908,2022
19075,7324,0.889539155823466,1.2975285767686404,0.9998634625887494,0.9781540141998908,2023
19100,13456,0.8772310549733029,1.387524371301422,0.9993311533888228,0.9823127229488704,2019
19100,13456,0.8772310549733029,1.387524371301422,0.9993311533888228,0.9823127229488704,2020
19100,13456,0.8772310549733029,1.387524371301422,0.9993311533888228,0.9823127229488704,2021
19100,13456,0.8772310549733029,1.387524371301422,0.9993311533888228,0.9823127229488704,2022
19100,13456,0.8772310549733029,1.387524371301422,0.9993311533888228,0.9823127229488704,2023
19110,9092,0.9725187479065401,1.0672464786161182,0.9997800263968324,0.9787725472943247,2019
19110,9092,0.9725187479065401,1.0672464786161182,0.9997800263968324,0.9787725472943247,2020
19110,9092,0.9725187479065401,1.0672464786161182,0.9997800263968324,0.9787725472943247,2021
19110,9092,0.9725187479065401,1.0672464786161182,0.9997800263968324,0.9787725472943247,2022
19110,9092,0.9725187479065401,1.0672464786161182,0.9997800263968324,0.9787725472943247,2023
19130,10693,1.0297582919636736,1.231861983363108,0.999906480875339,0.9798933881978865,2019
19130,10693,1.0297582919636736,1.231861983363108,0.999906480875339,0.9798933881978865,2020
19130,10693,1.0297582919636736,1.231861983363108,0.999906480875339,0.9798933881978865,2021
19130,10693,1.0297582919636736,1.231861983363108,0.999906480875339,0.9798933881978865,2022
19130,10693,1.0297582919636736,1.231861983363108,0.999906480875339,0.9798933881978865,2023
19137,10668,0.8207323145913411,1.4621540897356913,0.999437570303712,0.9715973003374578,2019
19137,10668,0.8207323145913411,1.4621540897356913,0.999437570303712,0.9715973003374578,2020
19137,10668,0.8207323145913411,1.4621540897356913,0.999437570303712,0.9715973003374578,2021
19137,10668,0.8207323145913411,1.4621540897356913,0.999437570303712,0.9715973003374578,2022
19137,10668,0.8207323145913411,1.4621540897356913,0.999437570303712,0.9715973003374578,2023
19142,8929,0.9350029165674145,1.1778802354953855,0.9993280322544518,0.9714413708142009,2019
19142,8929,0.9350029165674145,1.1778802354953855,0.9993280322544518,0.9714413708142009,2020
19142,8929,0.9350029165674145,1.1778802354953855,0.9993280322544518,0.9714413708142009,2021
19142,8929,0.9350029165674145,1.1778802354953855,0.9993280322544518,0.9714413708142009,2022
19142,8929,0.9350029165674145,1.1778802354953855,0.9993280322544518,0.9714413708142009,2023
19212,7686,0.9103971711254032,1.226530357685181,0.9996096799375488,0.9172521467603435,2019
19212,7686,0.9103971711254032,1.226530357685181,0.9996096799375488,0.9172521467603435,2020
19212,7686,0.9103971711254032,1.226530357685181,0.9996096799375488,0.9172521467603435,2021
19212,7686,0.9103971711254032,1.226530357685181,0.9996096799375488,0.9172521467603435,2022
19212,7686,0.9103971711254032,1.226530357685181,0.9996096799375488,0.9172521467603435,2023
19256,13817,0.9883710314205565,1.1284143824037614,0.9996381269450677,0.9828472171962076,2019
19256,13817,0.9883710314205565,1.1284143824037614,0.9996381269450677,0.9828472171962076,2020
19256,13817,0.9883710314205565,1.1284143824037614,0.9996381269450677,0.9828472171962076,2021
19256,13817,0.9883710314205565,1.1284143824037614,0.9996381269450677,0.9828472171962076,2022
19256,13817,0.9883710314205565,1.1284143824037614,0.9996381269450677,0.9828472171962076,2023
19290,1858,0.8770737515086295,1.5201111724658571,1.0,0.9445640473627557,2019
19290,1858,0.8770737515086295,1.5201111724658571,1.0,0.9445640473627557,2020
19290,1858,0.8770737515086295,1.5201111724658571,1.0,0.9445640473627557,2021
19290,1858,0.8770737515086295,1.5201111724658571,1.0,0.9445640473627557,2022
19290,1858,0.8770737515086295,1.5201111724658571,1.0,0.9445640473627557,2023
19300,6576,0.8934521999188998,0.9474301144921567,1.0,0.992852798053528,2019
19300,6576,0.8934521999188998,0.9474301144921567,1.0,0.992852798053528,2020
