codigo_dane,year_of_incident,indiciados_fisc_amenazas,indiciados_fisc_delitos_sexuales,indiciados_fisc_desaparicion_forzada,indiciados_fisc_desplazamiento,indiciados_fisc_estafa,indiciados_fisc_extorsion,indiciados_fisc_hurto,indiciados_fisc_dih,indiciados_fisc_reclutamiento_ilicito,indiciados_fisc_violencia_intrafamiliar,indiciados_fisc_corrupcion,indiciados_fisc_homicidios,indiciados_fisc_lesiones_personales,indiciados_fisc_secuestro,indiciados_fisc_otros_delitos
19780,2020,7.0,9.0,0.0,2.0,4.0,24.0,5.0,0.0,2.0,17.0,13.0,6.0,19.0,0.0,153.0
19780,2021,8.0,14.0,19.0,2.0,11.0,2.0,6.0,0.0,0.0,19.0,8.0,65.0,39.0,23.0,210.0
19780,2022,19.0,16.0,0.0,11.0,2.0,0.0,5.0,1.0,0.0,32.0,0.0,19.0,21.0,0.0,45.0
19780,2023,16.0,6.0,0.0,1.0,5.0,1.0,16.0,3.0,1.0,16.0,2.0,14.0,14.0,0.0,75.0
19785,2019,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,11.0,1.0,4.0,0.0,20.0
19785,2020,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,5.0
19785,2021,2.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,9.0
19785,2022,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,17.0,4.0,0.0,29.0
19785,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,8.0
19807,2019,16.0,29.0,0.0,0.0,7.0,5.0,44.0,0.0,0.0,63.0,14.0,18.0,119.0,7.0,275.0
19807,2020,6.0,23.0,0.0,2.0,44.0,0.0,29.0,0.0,0.0,49.0,2.0,11.0,76.0,2.0,151.0
19807,2021,15.0,25.0,0.0,0.0,17.0,8.0,35.0,0.0,0.0,79.0,3.0,12.0,91.0,3.0,154.0
19807,2022,19.0,23.0,0.0,1.0,16.0,7.0,50.0,0.0,0.0,110.0,0.0,21.0,118.0,2.0,158.0
19807,2023,12.0,16.0,0.0,2.0,10.0,3.0,55.0,0.0,0.0,106.0,15.0,15.0,98.0,1.0,196.0
19809,2019,5.0,9.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,19.0,1.0,33.0
19809,2020,4.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,12.0,2.0,3.0,0.0,23.0
19809,2021,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,1.0,3.0,7.0,0.0,54.0
19809,2022,4.0,3.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,7.0,1.0,7.0,9.0,0.0,26.0
19809,2023,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,8.0,0.0,23.0
19821,2019,11.0,25.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,66.0,1.0,3.0,30.0,3.0,33.0
19821,2020,11.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,26.0,1.0,16.0,6.0,4.0,23.0
19821,2021,33.0,11.0,2.0,0.0,6.0,0.0,2.0,3.0,6.0,36.0,0.0,39.0,14.0,1.0,316.0
19821,2022,28.0,8.0,0.0,9.0,10.0,3.0,9.0,1.0,1.0,17.0,1.0,33.0,5.0,0.0,37.0
19821,2023,23.0,8.0,0.0,15.0,4.0,0.0,2.0,5.0,1.0,8.0,2.0,54.0,6.0,44.0,31.0
