codigo_dane,total_personas,tasa_alfabetismo,tasa_analfabetismo,year
19001,277270,0.8859631406210553,0.036354455945468316,2019
19001,277270,0.8859631406210553,0.036354455945468316,2020
19001,277270,0.8859631406210553,0.036354455945468316,2021
19001,277270,0.8859631406210553,0.036354455945468316,2022
19001,277270,0.8859631406210553,0.036354455945468316,2023
19022,16523,0.7982206621073655,0.13254251649216245,2019
19022,16523,0.7982206621073655,0.13254251649216245,2020
19022,16523,0.7982206621073655,0.13254251649216245,2021
19022,16523,0.7982206621073655,0.13254251649216245,2022
19022,16523,0.7982206621073655,0.13254251649216245,2023
19050,20136,0.8192292411601112,0.09237187127532777,2019
19050,20136,0.8192292411601112,0.09237187127532777,2020
19050,20136,0.8192292411601112,0.09237187127532777,2021
19050,20136,0.8192292411601112,0.09237187127532777,2022
19050,20136,0.8192292411601112,0.09237187127532777,2023
19075,18910,0.8313590692755156,0.09122157588577472,2019
19075,18910,0.8313590692755156,0.09122157588577472,2020
19075,18910,0.8313590692755156,0.09122157588577472,2021
19075,18910,0.8313590692755156,0.09122157588577472,2022
19075,18910,0.8313590692755156,0.09122157588577472,2023
19100,35837,0.8328264084605296,0.10277087925886653,2019
19100,35837,0.8328264084605296,0.10277087925886653,2020
19100,35837,0.8328264084605296,0.10277087925886653,2021
19100,35837,0.8328264084605296,0.10277087925886653,2022
19100,35837,0.8328264084605296,0.10277087925886653,2023
19110,25257,0.8117353604941204,0.09114304945163718,2019
19110,25257,0.8117353604941204,0.09114304945163718,2020
19110,25257,0.8117353604941204,0.09114304945163718,2021
19110,25257,0.8117353604941204,0.09114304945163718,2022
19110,25257,0.8117353604941204,0.09114304945163718,2023
19130,32237,0.8082948165151844,0.10494152681701151,2019
19130,32237,0.8082948165151844,0.10494152681701151,2020
19130,32237,0.8082948165151844,0.10494152681701151,2021
19130,32237,0.8082948165151844,0.10494152681701151,2022
19130,32237,0.8082948165151844,0.10494152681701151,2023
19137,36139,0.7789922244666427,0.10299122831290296,2019
19137,36139,0.7789922244666427,0.10299122831290296,2020
19137,36139,0.7789922244666427,0.10299122831290296,2021
19137,36139,0.7789922244666427,0.10299122831290296,2022
19137,36139,0.7789922244666427,0.10299122831290296,2023
19142,25416,0.8315627950897073,0.07739219389361032,2019
19142,25416,0.8315627950897073,0.07739219389361032,2020
19142,25416,0.8315627950897073,0.07739219389361032,2021
19142,25416,0.8315627950897073,0.07739219389361032,2022
19142,25416,0.8315627950897073,0.07739219389361032,2023
19212,21975,0.8255290102389079,0.08364050056882821,2019
19212,21975,0.8255290102389079,0.08364050056882821,2020
19212,21975,0.8255290102389079,0.08364050056882821,2021
19212,21975,0.8255290102389079,0.08364050056882821,2022
19212,21975,0.8255290102389079,0.08364050056882821,2023
19256,38688,0.8247260132340778,0.09899710504549214,2019
19256,38688,0.8247260132340778,0.09899710504549214,2020
19256,38688,0.8247260132340778,0.09899710504549214,2021
19256,38688,0.8247260132340778,0.09899710504549214,2022
19256,38688,0.8247260132340778,0.09899710504549214,2023
19290,5089,0.8471212418942817,0.08842601689919434,2019
19290,5089,0.8471212418942817,0.08842601689919434,2020
19290,5089,0.8471212418942817,0.08842601689919434,2021
19290,5089,0.8471212418942817,0.08842601689919434,2022
19290,5089,0.8471212418942817,0.08842601689919434,2023
19300,18513,0.8694430940420246,0.05412412899043915,2019
19300,18513,0.8694430940420246,0.05412412899043915,2020
19300,18513,0.8694430940420246,0.05412412899043915,2021
19300,18513,0.8694430940420246,0.05412412899043915,2022
19300,18513,0.8694430940420246,0.05412412899043915,2023
19318,24037,0.7133585722011898,0.16279069767441862,2019
19318,24037,0.7133585722011898,0.16279069767441862,2020
19318,24037,0.7133585722011898,0.16279069767441862,2021
19318,24037,0.7133585722011898,0.16279069767441862,2022
19318,24037,0.7133585722011898,0.16279069767441862,2023
19355,26571,0.7854051409431335,0.09905536110797486,2019
19355,26571,0.7854051409431335,0.09905536110797486,2020
19355,26571,0.7854051409431335,0.09905536110797486,2021
19355,26571,0.7854051409431335,0.09905536110797486,2022
19355,26571,0.7854051409431335,0.09905536110797486,2023
19364,16353,0.7859108420473307,0.1057909863633584,2019
19364,16353,0.7859108420473307,0.1057909863633584,2020
19364,16353,0.7859108420473307,0.1057909863633584,2021
19364,16353,0.7859108420473307,0.1057909863633584,2022
19364,16353,0.7859108420473307,0.1057909863633584,2023
19392,9935,0.8320080523402114,0.09743331655762456,2019
19392,9935,0.8320080523402114,0.09743331655762456,2020
19392,9935,0.8320080523402114,0.09743331655762456,2021
19392,9935,0.8320080523402114,0.09743331655762456,2022
19392,9935,0.8320080523402114,0.09743331655762456,2023
19397,19777,0.8238357688223694,0.09723416089396775,2019
19397,19777,0.8238357688223694,0.09723416089396775,2020
19397,19777,0.8238357688223694,0.09723416089396775,2021
19397,19777,0.8238357688223694,0.09723416089396775,2022
19397,19777,0.8238357688223694,0.09723416089396775,2023
19418,15154,0.7079978883463112,0.14814570410452685,2019
19418,15154,0.7079978883463112,0.14814570410452685,2020
19418,15154,0.7079978883463112,0.14814570410452685,2021
19418,15154,0.7079978883463112,0.14814570410452685,2022
19418,15154,0.7079978883463112,0.14814570410452685,2023
19450,14824,0.8368861305990286,0.10172692930383162,2019
19450,14824,0.8368861305990286,0.10172692930383162,2020
19450,14824,0.8368861305990286,0.10172692930383162,2021
19450,14824,0.8368861305990286,0.10172692930383162,2022
19450,14824,0.8368861305990286,0.10172692930383162,2023
19455,28662,0.8650477984788222,0.06109134045077105,2019
19455,28662,0.8650477984788222,0.06109134045077105,2020
