year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2022,19821,155.0,12.0,9.0,30.0,9.0,11.0,29.0,4.0,16.0,17.0,1.0,49.0,14.0,6.0,95.0
2022,19824,21.0,16.0,0.0,0.0,13.0,11.0,56.0,1.0,0.0,10.0,0.0,7.0,55.0,2.0,54.0
2022,19845,77.0,12.0,1.0,30.0,724.0,13.0,565.0,0.0,0.0,43.0,4.0,49.0,143.0,2.0,328.0
2023,19001,1048.0,302.0,20.0,91.0,1438.0,318.0,7657.0,16.0,27.0,1683.0,126.0,402.0,1881.0,41.0,4565.0
2023,19022,8.0,6.0,1.0,17.0,1.0,3.0,8.0,0.0,0.0,10.0,9.0,7.0,9.0,0.0,49.0
2023,19050,87.0,21.0,6.0,190.0,10.0,6.0,49.0,44.0,27.0,13.0,2.0,71.0,42.0,11.0,70.0
2023,19075,28.0,8.0,1.0,61.0,5.0,2.0,26.0,4.0,4.0,15.0,1.0,51.0,29.0,3.0,47.0
2023,19100,86.0,18.0,2.0,66.0,23.0,8.0,113.0,0.0,1.0,53.0,1.0,39.0,36.0,4.0,57.0
2023,19110,129.0,8.0,3.0,138.0,5.0,3.0,35.0,7.0,16.0,7.0,1.0,44.0,16.0,5.0,67.0
2023,19130,123.0,33.0,3.0,51.0,49.0,23.0,200.0,12.0,2.0,63.0,2.0,58.0,92.0,10.0,248.0
2023,19137,224.0,16.0,8.0,39.0,12.0,9.0,84.0,1.0,27.0,54.0,2.0,48.0,78.0,6.0,136.0
2023,19142,238.0,35.0,7.0,68.0,28.0,9.0,146.0,2.0,19.0,54.0,0.0,93.0,58.0,3.0,168.0
2023,19212,121.0,7.0,11.0,72.0,19.0,30.0,112.0,2.0,108.0,48.0,3.0,89.0,17.0,7.0,155.0
2023,19256,119.0,34.0,9.0,118.0,36.0,25.0,180.0,4.0,21.0,72.0,10.0,108.0,98.0,6.0,186.0
2023,19290,282.0,5.0,11.0,131.0,2.0,122.0,7.0,0.0,0.0,5.0,120.0,5.0,3.0,1.0,132.0
2023,19300,102.0,9.0,3.0,53.0,19.0,11.0,212.0,0.0,4.0,34.0,3.0,70.0,112.0,0.0,147.0
2023,19318,19.0,13.0,1.0,55.0,11.0,4.0,11.0,0.0,1.0,29.0,1.0,14.0,11.0,0.0,35.0
2023,19355,73.0,14.0,1.0,56.0,14.0,19.0,43.0,1.0,22.0,45.0,0.0,17.0,28.0,2.0,72.0
2023,19364,55.0,2.0,0.0,17.0,9.0,1.0,14.0,3.0,0.0,8.0,0.0,14.0,16.0,1.0,55.0
2023,19392,23.0,7.0,0.0,7.0,6.0,2.0,25.0,0.0,1.0,14.0,0.0,16.0,19.0,2.0,30.0
2023,19397,33.0,8.0,0.0,38.0,7.0,4.0,14.0,1.0,0.0,27.0,0.0,25.0,24.0,0.0,116.0
2023,19418,10.0,5.0,1.0,6.0,1.0,2.0,6.0,0.0,0.0,3.0,0.0,8.0,1.0,2.0,8.0
2023,19450,63.0,6.0,1.0,36.0,15.0,14.0,96.0,0.0,0.0,13.0,3.0,30.0,44.0,1.0,80.0
2023,19455,272.0,43.0,8.0,96.0,17.0,25.0,172.0,19.0,4.0,36.0,27.0,84.0,72.0,10.0,321.0
2023,19473,88.0,36.0,3.0,56.0,35.0,14.0,64.0,0.0,10.0,37.0,1.0,29.0,20.0,3.0,119.0
