codigo_dane,vict_por_declarac_uv,vict_ubicadas_uv,vict_en_atencion_uv,vict_por_eventos_uv,year
19585,827.0,1141.0,947.0,3860.0,2022
19585,827.0,1141.0,947.0,3860.0,2023
19622,2563.0,3345.0,2975.0,5873.0,2019
19622,2563.0,3345.0,2975.0,5873.0,2020
19622,2563.0,3345.0,2975.0,5873.0,2021
19622,2563.0,3345.0,2975.0,5873.0,2022
19622,2563.0,3345.0,2975.0,5873.0,2023
19693,1735.0,1951.0,1647.0,6165.0,2019
19693,1735.0,1951.0,1647.0,6165.0,2020
19693,1735.0,1951.0,1647.0,6165.0,2021
19693,1735.0,1951.0,1647.0,6165.0,2022
19693,1735.0,1951.0,1647.0,6165.0,2023
19698,25360.0,25965.0,22175.0,22314.0,2019
19698,25360.0,25965.0,22175.0,22314.0,2020
19698,25360.0,25965.0,22175.0,22314.0,2021
19698,25360.0,25965.0,22175.0,22314.0,2022
19698,25360.0,25965.0,22175.0,22314.0,2023
19701,2453.0,2561.0,2285.0,9327.0,2019
19701,2453.0,2561.0,2285.0,9327.0,2020
19701,2453.0,2561.0,2285.0,9327.0,2021
19701,2453.0,2561.0,2285.0,9327.0,2022
19701,2453.0,2561.0,2285.0,9327.0,2023
19743,1550.0,2744.0,2293.0,4963.0,2019
19743,1550.0,2744.0,2293.0,4963.0,2020
19743,1550.0,2744.0,2293.0,4963.0,2021
19743,1550.0,2744.0,2293.0,4963.0,2022
19743,1550.0,2744.0,2293.0,4963.0,2023
19760,587.0,1393.0,1216.0,3995.0,2019
19760,587.0,1393.0,1216.0,3995.0,2020
19760,587.0,1393.0,1216.0,3995.0,2021
19760,587.0,1393.0,1216.0,3995.0,2022
19760,587.0,1393.0,1216.0,3995.0,2023
19780,26932.0,21174.0,19412.0,44561.0,2019
19780,26932.0,21174.0,19412.0,44561.0,2020
19780,26932.0,21174.0,19412.0,44561.0,2021
19780,26932.0,21174.0,19412.0,44561.0,2022
19780,26932.0,21174.0,19412.0,44561.0,2023
19785,1843.0,3399.0,3111.0,5693.0,2019
19785,1843.0,3399.0,3111.0,5693.0,2020
19785,1843.0,3399.0,3111.0,5693.0,2021
19785,1843.0,3399.0,3111.0,5693.0,2022
19785,1843.0,3399.0,3111.0,5693.0,2023
19807,7592.0,9474.0,8341.0,10848.0,2019
19807,7592.0,9474.0,8341.0,10848.0,2020
19807,7592.0,9474.0,8341.0,10848.0,2021
19807,7592.0,9474.0,8341.0,10848.0,2022
19807,7592.0,9474.0,8341.0,10848.0,2023
19809,21087.0,18144.0,16008.0,35731.0,2019
19809,21087.0,18144.0,16008.0,35731.0,2020
19809,21087.0,18144.0,16008.0,35731.0,2021
19809,21087.0,18144.0,16008.0,35731.0,2022
19809,21087.0,18144.0,16008.0,35731.0,2023
19821,15647.0,15136.0,13197.0,31490.0,2019
19821,15647.0,15136.0,13197.0,31490.0,2020
19821,15647.0,15136.0,13197.0,31490.0,2021
19821,15647.0,15136.0,13197.0,31490.0,2022
19821,15647.0,15136.0,13197.0,31490.0,2023
19824,787.0,1166.0,1006.0,2519.0,2019
19824,787.0,1166.0,1006.0,2519.0,2020
19824,787.0,1166.0,1006.0,2519.0,2021
19824,787.0,1166.0,1006.0,2519.0,2022
19824,787.0,1166.0,1006.0,2519.0,2023
19845,2683.0,2928.0,2588.0,2343.0,2019
19845,2683.0,2928.0,2588.0,2343.0,2020
19845,2683.0,2928.0,2588.0,2343.0,2021
19845,2683.0,2928.0,2588.0,2343.0,2022
19845,2683.0,2928.0,2588.0,2343.0,2023
