codigo_dane,ano,tasa_desempleo
19001,2019,13.033405883128875
19001,2020,13.033405883128875
19001,2021,13.033405883128875
19001,2022,13.033405883128875
19001,2023,13.033405883128875
19022,2019,7.253784155690977
19022,2020,7.253784155690977
19022,2021,7.253784155690977
19022,2022,7.253784155690977
19022,2023,7.253784155690977
19050,2019,4.692362939909025
19050,2020,4.692362939909025
19050,2021,4.692362939909025
19050,2022,4.692362939909025
19050,2023,4.692362939909025
19075,2019,9.658740914130837
19075,2020,9.658740914130837
19075,2021,9.658740914130837
19075,2022,9.658740914130837
19075,2023,9.658740914130837
19100,2019,14.908893856262278
19100,2020,14.908893856262278
19100,2021,14.908893856262278
19100,2022,14.908893856262278
19100,2023,14.908893856262278
19110,2019,5.759424057594241
19110,2020,5.759424057594241
19110,2021,5.759424057594241
19110,2022,5.759424057594241
19110,2023,5.759424057594241
19130,2019,14.221093564002857
19130,2020,14.221093564002857
19130,2021,14.221093564002857
19130,2022,14.221093564002857
19130,2023,14.221093564002857
19137,2019,4.193148988856789
19137,2020,4.193148988856789
19137,2021,4.193148988856789
19137,2022,4.193148988856789
19137,2023,4.193148988856789
19142,2019,11.30952380952381
19142,2020,11.30952380952381
19142,2021,11.30952380952381
19142,2022,11.30952380952381
19142,2023,11.30952380952381
19212,2019,12.74582757520995
19212,2020,12.74582757520995
19212,2021,12.74582757520995
19212,2022,12.74582757520995
19212,2023,12.74582757520995
19256,2019,5.384720513871805
19256,2020,5.384720513871805
19256,2021,5.384720513871805
19256,2022,5.384720513871805
19256,2023,5.384720513871805
19290,2019,10.16280217069561
19290,2020,10.16280217069561
19290,2021,10.16280217069561
19290,2022,10.16280217069561
19290,2023,10.16280217069561
19300,2019,19.43955597671585
19300,2020,19.43955597671585
19300,2021,19.43955597671585
19300,2022,19.43955597671585
19300,2023,19.43955597671585
19318,2019,12.019115890083633
19318,2020,12.019115890083633
19318,2021,12.019115890083633
19318,2022,12.019115890083633
19318,2023,12.019115890083633
19355,2019,4.618001046572475
19355,2020,4.618001046572475
19355,2021,4.618001046572475
19355,2022,4.618001046572475
19355,2023,4.618001046572475
19364,2019,4.364967614756407
19364,2020,4.364967614756407
19364,2021,4.364967614756407
19364,2022,4.364967614756407
19364,2023,4.364967614756407
19392,2019,16.738973246565436
19392,2020,16.738973246565436
19392,2021,16.738973246565436
19392,2022,16.738973246565436
19392,2023,16.738973246565436
19397,2019,7.231833910034602
19397,2020,7.231833910034602
19397,2021,7.231833910034602
19397,2022,7.231833910034602
19397,2023,7.231833910034602
19418,2019,21.441176470588236
19418,2020,21.441176470588236
19418,2021,21.441176470588236
19418,2022,21.441176470588236
19418,2023,21.441176470588236
19450,2019,12.961416402204778
19450,2020,12.961416402204778
19450,2021,12.961416402204778
19450,2022,12.961416402204778
19450,2023,12.961416402204778
19455,2019,10.740041208791208
19455,2020,10.740041208791208
19455,2021,10.740041208791208
19455,2022,10.740041208791208
19455,2023,10.740041208791208
19473,2019,8.022895749272779
19473,2020,8.022895749272779
19473,2021,8.022895749272779
19473,2022,8.022895749272779
19473,2023,8.022895749272779
19513,2019,22.260176487332764
19513,2020,22.260176487332764
19513,2021,22.260176487332764
19513,2022,22.260176487332764
19513,2023,22.260176487332764
19517,2019,2.7404255319148936
19517,2020,2.7404255319148936
19517,2021,2.7404255319148936
19517,2022,2.7404255319148936
19517,2023,2.7404255319148936
19532,2019,23.33217512161223
19532,2020,23.33217512161223
19532,2021,23.33217512161223
19532,2022,23.33217512161223
19532,2023,23.33217512161223
19533,2019,10.297316896301668
19533,2020,10.297316896301668
19533,2021,10.297316896301668
19533,2022,10.297316896301668
19533,2023,10.297316896301668
19548,2019,10.159725767631828
19548,2020,10.159725767631828
19548,2021,10.159725767631828
19548,2022,10.159725767631828
19548,2023,10.159725767631828
19573,2019,14.18911303955821
19573,2020,14.18911303955821
19573,2021,14.18911303955821
19573,2022,14.18911303955821
19573,2023,14.18911303955821
19585,2019,8.240914519706534
19585,2020,8.240914519706534
19585,2021,8.240914519706534
19585,2022,8.240914519706534
19585,2023,8.240914519706534
19622,2019,10.246039770812269
19622,2020,10.246039770812269
19622,2021,10.246039770812269
19622,2022,10.246039770812269
19622,2023,10.246039770812269
19693,2019,14.05146316851665
19693,2020,14.05146316851665
19693,2021,14.05146316851665
19693,2022,14.05146316851665
19693,2023,14.05146316851665
19698,2019,8.497745208568208
19698,2020,8.497745208568208
19698,2021,8.497745208568208
19698,2022,8.497745208568208
19698,2023,8.497745208568208
19701,2019,10.584752035529238
19701,2020,10.584752035529238
19701,2021,10.584752035529238
19701,2022,10.584752035529238
19701,2023,10.584752035529238
19743,2019,4.424905282722139
19743,2020,4.424905282722139
19743,2021,4.424905282722139
19743,2022,4.424905282722139
19743,2023,4.424905282722139
19760,2019,3.603406857392444
19760,2020,3.603406857392444
19760,2021,3.603406857392444
19760,2022,3.603406857392444
19760,2023,3.603406857392444
19780,2019,7.819876528265343
19780,2020,7.819876528265343
19780,2021,7.819876528265343
19780,2022,7.819876528265343
19780,2023,7.819876528265343
19785,2019,86.25753012048193
19785,2020,86.25753012048193
19785,2021,86.25753012048193
19785,2022,86.25753012048193
19785,2023,86.25753012048193
19807,2019,19.62624254473161
19807,2020,19.62624254473161
19807,2021,19.62624254473161
19807,2022,19.62624254473161
19807,2023,19.62624254473161
19809,2019,9.668640947654874
19809,2020,9.668640947654874
19809,2021,9.668640947654874
19809,2022,9.668640947654874
19809,2023,9.668640947654874
19821,2019,13.322861630729687
19821,2020,13.322861630729687
19821,2021,13.322861630729687
